               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027912,            0.028669,           0.0038651,             0.96251,             0.93553,             0.95579,             0.47314,            0.039246,            0.026197,           0.0034378,            0.008845,            0.008845,            0.008845
                  37,            0.028878,            0.028808,           0.0038051,             0.95418,             0.93315,             0.94918,             0.45724,            0.036861,             0.02735,           0.0038163,            0.008812,            0.008812,            0.008812
                  38,            0.027291,            0.028229,           0.0036642,             0.96454,             0.94108,             0.96142,             0.46545,            0.037392,            0.027124,           0.0036119,            0.008779,            0.008779,            0.008779
                  39,            0.027413,            0.028506,           0.0036452,             0.98377,             0.94755,             0.97484,             0.58386,            0.028972,            0.023921,           0.0030705,            0.008746,            0.008746,            0.008746
                  40,            0.027767,            0.028294,           0.0038126,             0.98173,             0.95863,             0.97794,             0.70017,            0.021881,            0.021715,           0.0030216,            0.008713,            0.008713,            0.008713
                  41,             0.02745,            0.028548,           0.0035963,             0.85188,             0.81213,             0.79308,             0.23185,            0.051771,            0.036462,           0.0042354,             0.00868,             0.00868,             0.00868
                  42,            0.026302,            0.027886,            0.003614,             0.98486,             0.96588,             0.98218,             0.73106,            0.020369,            0.020441,           0.0032862,            0.008647,            0.008647,            0.008647
                  43,            0.026576,            0.027944,           0.0035381,             0.94169,             0.90969,             0.91505,             0.36904,            0.042721,            0.031745,           0.0039192,            0.008614,            0.008614,            0.008614
                  44,            0.027502,            0.028152,           0.0033849,             0.97251,             0.96095,              0.9747,             0.64134,            0.024512,            0.022194,            0.003705,            0.008581,            0.008581,            0.008581
                  45,            0.026555,            0.027627,           0.0033381,             0.95946,             0.93289,             0.95956,             0.44697,            0.035105,            0.027561,           0.0032998,            0.008548,            0.008548,            0.008548
                  46,            0.026286,            0.027963,           0.0035705,             0.93653,             0.91123,             0.93173,             0.39308,            0.043073,            0.028954,            0.004016,            0.008515,            0.008515,            0.008515
                  47,            0.026516,            0.027866,           0.0032089,             0.98642,             0.96073,             0.98175,             0.73406,            0.020791,            0.020568,           0.0027047,            0.008482,            0.008482,            0.008482
                  48,            0.026907,            0.027553,           0.0035699,              0.9356,             0.90476,             0.90892,             0.33396,            0.047772,            0.030952,           0.0036161,            0.008449,            0.008449,            0.008449
                  49,            0.026204,             0.02725,           0.0034578,             0.98104,             0.95004,             0.97417,              0.5875,            0.028501,            0.023875,           0.0028804,            0.008416,            0.008416,            0.008416
                  50,             0.02657,            0.028332,            0.003122,             0.97914,             0.96227,             0.98076,               0.649,             0.02619,            0.022544,           0.0029039,            0.008383,            0.008383,            0.008383
                  51,            0.025956,            0.027304,           0.0032424,             0.97914,             0.96201,             0.97713,             0.61351,            0.027486,            0.023158,           0.0029159,             0.00835,             0.00835,             0.00835
                  52,            0.025914,            0.027218,           0.0032125,             0.98874,             0.96261,             0.98203,             0.64483,            0.025722,            0.022404,           0.0026963,            0.008317,            0.008317,            0.008317
                  53,            0.024119,            0.026575,           0.0029919,              0.9859,             0.96401,             0.98151,             0.71855,            0.021703,            0.020437,           0.0031624,            0.008284,            0.008284,            0.008284
                  54,            0.025779,            0.027652,           0.0031007,             0.98238,             0.96626,             0.97784,              0.6605,             0.02456,            0.022385,           0.0031681,            0.008251,            0.008251,            0.008251
                  55,            0.025423,            0.026956,           0.0030978,              0.9701,              0.9464,             0.96806,             0.47773,            0.035787,            0.026974,           0.0031185,            0.008218,            0.008218,            0.008218
                  56,            0.025465,             0.02698,           0.0032036,             0.97448,             0.95344,             0.97313,             0.59801,            0.030136,             0.02427,           0.0037194,            0.008185,            0.008185,            0.008185
                  57,            0.025693,            0.026664,           0.0030822,             0.97999,             0.95082,             0.97833,             0.63192,            0.025868,            0.022945,           0.0030238,            0.008152,            0.008152,            0.008152
                  58,            0.024563,            0.026144,            0.002839,             0.97815,             0.95646,             0.97438,             0.63998,            0.025108,            0.022524,            0.002905,            0.008119,            0.008119,            0.008119
                  59,            0.025004,            0.027349,           0.0030271,             0.97452,             0.96088,             0.97768,             0.60968,            0.028098,             0.02294,           0.0028675,            0.008086,            0.008086,            0.008086
                  60,            0.024692,            0.026494,           0.0031812,             0.98057,             0.95181,             0.97085,             0.61612,             0.02687,            0.023861,           0.0029585,            0.008053,            0.008053,            0.008053
                  61,             0.02414,            0.026188,            0.003017,             0.98044,               0.953,             0.97186,               0.584,             0.02967,            0.025323,           0.0029355,             0.00802,             0.00802,             0.00802
                  62,            0.024798,            0.025932,           0.0030019,             0.98115,             0.96107,             0.97755,             0.66604,            0.023493,            0.022152,           0.0029111,            0.007987,            0.007987,            0.007987
                  63,            0.024811,             0.02665,           0.0028382,             0.98851,             0.95396,             0.97741,             0.66785,            0.024035,            0.022765,           0.0028594,            0.007954,            0.007954,            0.007954
                  64,            0.025065,            0.026314,           0.0029809,             0.98147,             0.96322,             0.98104,             0.68503,             0.02286,            0.021373,           0.0024562,            0.007921,            0.007921,            0.007921
                  65,             0.02516,            0.025868,           0.0027168,             0.98229,             0.95114,             0.97907,             0.54179,             0.03221,            0.024739,           0.0024725,            0.007888,            0.007888,            0.007888
                  66,            0.024053,            0.026043,           0.0029559,             0.95643,             0.91956,             0.93922,             0.39736,            0.043787,            0.030641,           0.0034683,            0.007855,            0.007855,            0.007855
                  67,            0.023841,            0.026333,           0.0028143,             0.97296,             0.96135,              0.9762,             0.62975,            0.028438,            0.023666,           0.0028136,            0.007822,            0.007822,            0.007822
                  68,            0.025119,            0.026763,           0.0029076,             0.98484,              0.9438,             0.96921,             0.55272,             0.03277,             0.02531,           0.0031266,            0.007789,            0.007789,            0.007789
                  69,               0.024,            0.025963,           0.0027584,             0.98073,             0.96546,             0.97944,              0.7068,            0.022285,            0.020777,            0.002705,            0.007756,            0.007756,            0.007756
                  70,            0.023621,            0.026114,           0.0026682,             0.98102,             0.96757,             0.98295,             0.73578,            0.020126,            0.019429,           0.0027608,            0.007723,            0.007723,            0.007723
                  71,             0.02342,            0.025281,            0.002806,             0.98082,             0.96107,             0.97513,             0.66296,            0.023861,            0.022443,           0.0029655,             0.00769,             0.00769,             0.00769
                  72,             0.02314,            0.025361,           0.0027325,             0.99077,             0.95831,             0.98409,              0.7464,            0.019816,            0.019937,           0.0026516,            0.007657,            0.007657,            0.007657
                  73,            0.023948,            0.026068,           0.0027506,             0.95941,             0.91155,             0.94516,             0.41714,            0.039635,            0.030375,           0.0035006,            0.007624,            0.007624,            0.007624
                  74,            0.023473,             0.02625,           0.0026581,             0.97769,             0.94533,             0.97233,             0.62009,            0.027271,            0.023796,           0.0029299,            0.007591,            0.007591,            0.007591
                  75,            0.023618,            0.026392,           0.0025131,             0.98328,             0.96279,             0.97496,             0.68581,            0.023491,            0.021853,           0.0030377,            0.007558,            0.007558,            0.007558
                  76,            0.022701,            0.025581,            0.002617,               0.967,             0.93176,             0.96028,             0.48476,            0.035937,            0.028443,           0.0033578,            0.007525,            0.007525,            0.007525
                  77,            0.022583,            0.025741,           0.0027172,             0.98349,             0.94896,             0.97978,             0.58268,             0.02949,            0.024619,            0.002656,            0.007492,            0.007492,            0.007492
                  78,            0.023161,            0.025194,           0.0027792,             0.97981,             0.95647,             0.97053,             0.56992,            0.030625,            0.025693,           0.0030547,            0.007459,            0.007459,            0.007459
                  79,            0.022755,              0.0255,           0.0027112,             0.97922,               0.959,             0.97574,              0.7468,            0.019184,            0.020431,           0.0026849,            0.007426,            0.007426,            0.007426
                  80,            0.023267,            0.025353,            0.002624,             0.95208,             0.92697,             0.93593,             0.39336,            0.040186,            0.030735,           0.0029704,            0.007393,            0.007393,            0.007393
                  81,            0.023721,            0.025472,           0.0025714,             0.97735,             0.95241,             0.97825,             0.55556,            0.032941,            0.025071,           0.0027424,             0.00736,             0.00736,             0.00736
                  82,            0.023214,            0.025728,           0.0024328,             0.97995,             0.96829,             0.98469,              0.7444,            0.019271,            0.019157,           0.0025204,            0.007327,            0.007327,            0.007327
                  83,            0.022883,             0.02566,           0.0023732,             0.97636,             0.95638,             0.97485,             0.57462,            0.030087,            0.024884,            0.002659,            0.007294,            0.007294,            0.007294
                  84,            0.021746,            0.024622,           0.0025577,             0.97993,             0.94489,             0.97087,              0.5538,            0.031668,            0.025979,           0.0026122,            0.007261,            0.007261,            0.007261
                  85,            0.023081,            0.025482,           0.0026663,             0.97878,             0.95173,             0.97889,             0.70943,            0.021628,            0.021248,           0.0029707,            0.007228,            0.007228,            0.007228
                  86,            0.022458,            0.025356,            0.002397,             0.98901,             0.95382,             0.97735,             0.67569,            0.023797,             0.02192,           0.0028794,            0.007195,            0.007195,            0.007195
                  87,            0.022456,            0.025136,           0.0025309,             0.97938,             0.94594,             0.97011,             0.49174,            0.035615,            0.027907,           0.0028643,            0.007162,            0.007162,            0.007162
                  88,             0.02281,            0.025253,           0.0024802,             0.97696,             0.96355,             0.97855,              0.6927,            0.022582,            0.021089,           0.0026438,            0.007129,            0.007129,            0.007129
                  89,            0.021803,            0.025318,           0.0024456,             0.98615,             0.96713,             0.98452,             0.75065,             0.01891,            0.019482,           0.0021877,            0.007096,            0.007096,            0.007096
                  90,            0.021694,            0.024362,           0.0025602,             0.97428,             0.95174,             0.97122,             0.61085,            0.027696,            0.024322,           0.0025188,            0.007063,            0.007063,            0.007063
                  91,            0.021584,            0.025136,           0.0024107,             0.95904,             0.92809,             0.94619,             0.42364,            0.040855,            0.029709,           0.0030069,             0.00703,             0.00703,             0.00703
                  92,            0.022321,            0.025498,           0.0024477,             0.98718,             0.95084,             0.97365,             0.66836,            0.024684,            0.022585,           0.0026085,            0.006997,            0.006997,            0.006997
                  93,            0.021736,            0.024774,           0.0024238,             0.99103,             0.95539,             0.98126,             0.69567,            0.022395,            0.020704,           0.0024291,            0.006964,            0.006964,            0.006964
                  94,            0.022112,            0.024653,           0.0022737,             0.97973,             0.94141,             0.97019,             0.57358,            0.030858,            0.025223,           0.0027054,            0.006931,            0.006931,            0.006931
                  95,            0.022191,            0.025073,           0.0023038,             0.97776,              0.9616,             0.98055,              0.6512,            0.025284,             0.02257,           0.0027156,            0.006898,            0.006898,            0.006898
                  96,            0.021587,            0.024835,           0.0023324,             0.97393,             0.95163,             0.97519,             0.57479,            0.030668,            0.024787,           0.0028731,            0.006865,            0.006865,            0.006865
                  97,            0.022188,            0.024649,           0.0025763,             0.98022,             0.96639,             0.98413,             0.73414,              0.0195,            0.019676,           0.0026817,            0.006832,            0.006832,            0.006832
                  98,            0.021456,            0.024402,           0.0024124,              0.9635,             0.95366,             0.96292,             0.46703,            0.036882,            0.028589,            0.002922,            0.006799,            0.006799,            0.006799
                  99,            0.022462,            0.025186,           0.0023642,             0.96504,             0.92344,             0.94613,             0.38484,            0.042441,            0.033178,           0.0032642,            0.006766,            0.006766,            0.006766
                 100,            0.021847,            0.023991,           0.0022697,             0.98192,             0.96037,             0.97553,              0.5998,            0.029138,            0.023654,           0.0028256,            0.006733,            0.006733,            0.006733
                 101,            0.022104,            0.024389,           0.0021642,             0.96256,             0.96379,             0.97306,             0.62719,            0.026895,            0.022696,           0.0035295,              0.0067,              0.0067,              0.0067
